#{"t_start": 1770078423.673936, "env_id": "None"}
r,l,t
140.0,1000,737.783268
190.0,1000,738.292345
140.0,1000,739.264338
140.0,1000,739.764536
140.0,1000,740.744706
190.0,1000,741.264115
140.0,1000,742.255935
190.0,1000,742.76764
190.0,1000,743.738436
140.0,1000,744.24592
190.0,1000,745.212574
140.0,1000,745.731662
140.0,1000,746.706604
140.0,1000,747.214047
190.0,1000,748.192616
190.0,1000,748.710718
140.0,1000,749.678973
240.2,480,749.92268
190.0,1000,750.441097
150.0,1000,751.429583
150.0,1000,751.96469
190.0,1000,752.936173
140.0,1000,753.443436
290.0,1000,754.424535
340.0,1000,754.961478
140.0,1000,755.933649
340.0,1000,756.483113
140.0,1000,757.465662
340.0,1000,758.009658
190.0,1000,758.996463
460.0,1000,759.670664
340.0,1000,760.680785
200.0,1000,761.206665
340.0,1000,762.212517
340.0,1000,762.753338
200.0,1000,763.843505
460.0,1000,764.431968
340.0,1000,765.42901
460.0,1000,766.070254
480.0,1000,767.212993
340.0,1000,767.778914
340.0,1000,768.850201
340.0,1000,769.390133
340.0,1000,770.414283
340.0,1000,770.962504
200.0,1000,771.969109
480.0,1000,772.64383
340.0,1000,773.649981
460.0,1000,774.310513
340.0,1000,775.319025
340.0,1000,775.866054
480.0,1000,776.5322
200.0,1000,777.532664
460.0,1000,778.187066
340.0,1000,779.207673
480.0,1000,779.87737
480.0,1000,781.006485
480.0,1000,781.680902
480.0,1000,782.829812
480.0,1000,783.515741
460.0,1000,784.639342
140.0,1000,785.152655
460.0,1000,786.247255
220.0,1000,786.840945
460.0,1000,788.004516
480.0,1000,788.698411
340.0,1000,789.710001
340.0,1000,790.263541
340.0,1000,791.280613
500.0,1000,791.972603
500.0,1000,793.121761
500.0,1000,793.797901
500.0,1000,794.922649
350.0,1000,795.500124
350.0,1000,796.540272
550.0,1000,797.203258
500.0,1000,798.341185
350.0,1000,798.917771
600.0,1000,800.054554
350.0,1000,800.630755
550.0,1000,801.7706
250.0,1000,802.867653
550.0,1000,804.25105
290.0,1000,804.878527
350.0,1000,805.927956
500.0,1000,806.671856
460.0,1000,807.987802
550.0,1000,808.659161
500.0,1000,809.792105
460.0,1000,810.478233
500.0,1000,811.794686
550.0,1000,812.49257
500.0,1000,813.624137
350.0,1000,814.18937
500.0,1000,814.857234
290.0,1000,815.962364
500.0,1000,816.633873
500.0,1000,817.764947
350.0,1000,818.324403
460.0,1000,819.487014
500.0,1000,820.164995
500.0,1000,821.294781
500.0,1000,821.973855
550.0,1000,823.122776
460.0,1000,823.804433
500.0,1000,824.924237
550.0,1000,825.588288
550.0,1000,826.716955
460.0,1000,827.408978
500.0,1000,828.540572
500.0,1000,829.205317
550.0,1000,830.336972
550.0,1000,831.008619
550.0,1000,832.147895
550.0,1000,832.813333
550.0,1000,833.942634
550.0,1000,834.60198
550.0,1000,835.725557
550.0,1000,836.383358
600.0,1000,837.512211
550.0,1000,838.170591
550.0,1000,839.301284
550.0,1000,839.973998
550.0,1000,841.100491
460.0,1000,841.78206
550.0,1000,842.923391
250.0,1000,843.54173
290.0,1000,844.659589
600.0,1000,845.317757
600.0,1000,846.434298
600.0,1000,847.091789
550.0,1000,848.224347
290.0,1000,848.844689
600.0,1000,849.971071
600.0,1000,850.66506
600.0,1000,851.83277
600.0,1000,852.515594
600.0,1000,853.170133
350.0,1000,854.278544
600.0,1000,854.930441
600.0,1000,856.051918
600.0,1000,856.706284
600.0,1000,857.819891
550.0,1000,858.47502
600.0,1000,859.693363
650.0,1000,860.355082
350.0,1000,861.464506
650.0,1000,862.114209
650.0,1000,863.261393
650.0,1000,863.910184
390.0,1000,865.006763
650.0,1000,865.650184
650.0,1000,866.753838
370.0,1000,867.364397
460.0,1000,868.5047
370.0,1000,869.118189
650.0,1000,870.223335
390.0,1000,870.862798
370.0,1000,871.967413
700.0,1000,872.714458
520.0,1000,873.902409
460.0,1000,874.57926
460.0,1000,875.719987
700.0,1000,876.358427
242.23,277,876.503156
700.0,1000,877.615816
700.0,1000,878.25418
750.0,1000,879.354012
700.0,1000,879.998869
520.0,1000,881.188933
456.87,813,881.633777
338.93,607,881.891035
700.0,1000,882.997305
700.0,1000,883.636236
700.0,1000,884.748444
700.0,1000,885.38698
700.0,1000,886.485431
750.0,1000,887.128828
750.0,1000,888.238329
750.0,1000,888.874148
750.0,1000,889.978888
400.0,1000,890.610974
750.0,1000,891.724934
750.0,1000,892.361883
750.0,1000,893.472886
339.05,595,893.724497
750.0,1000,894.832847
800.0,1000,895.473726
400.0,1000,896.562206
400.0,1000,897.184593
440.0,1000,898.277996
370.0,1000,898.891677
750.0,1000,899.990173
339.2,580,900.238086
440.0,1000,900.872646
370.0,1000,901.981326
339.08,592,902.229245
750.0,1000,903.337321
400.0,1000,903.984056
650.0,1000,905.099077
700.0,1000,905.74125
700.0,1000,906.376155
700.0,1000,907.480134
650.0,1000,908.138425
700.0,1000,909.243222
700.0,1000,909.884481
339.61,539,910.576956
700.0,1000,911.215071
338.34,666,911.974163
339.11,589,912.226454
750.0,1000,912.882078
700.0,1000,913.989997
400.0,1000,914.62716
400.0,1000,915.718682
400.0,1000,916.348642
750.0,1000,917.452296
440.0,1000,918.091112
700.0,1000,919.195118
700.0,1000,919.834639
700.0,1000,920.942887
700.0,1000,921.584163
750.0,1000,922.692162
700.0,1000,923.334062
700.0,1000,924.44228
400.0,1000,925.08537
750.0,1000,926.187258
750.0,1000,926.821296
750.0,1000,927.910895
700.0,1000,928.543871
700.0,1000,929.638714
700.0,1000,930.289484
440.0,1000,931.403035
750.0,1000,932.07603
700.0,1000,933.186023
700.0,1000,933.827937
700.0,1000,934.945738
700.0,1000,935.594094
700.0,1000,936.236683
700.0,1000,937.390637
750.0,1000,938.026256
750.0,1000,939.124045
750.0,1000,939.772268
400.0,1000,940.871741
440.0,1000,941.512532
440.0,1000,942.611998
540.0,1000,943.232765
440.0,1000,944.342494
700.0,1000,944.98405
750.0,1000,946.088771
700.0,1000,946.728592
750.0,1000,947.833677
750.0,1000,948.480962
700.0,1000,949.581918
700.0,1000,950.217549
700.0,1000,951.326252
700.0,1000,951.981104
400.0,1000,953.073742
400.0,1000,953.704625
750.0,1000,954.854338
400.0,1000,955.496348
400.0,1000,956.590325
400.0,1000,957.237776
700.0,1000,958.346639
700.0,1000,958.982895
700.0,1000,960.09678
700.0,1000,960.743913
700.0,1000,961.859963
550.0,1000,962.596352
700.0,1000,963.717393
650.0,1000,964.361458
700.0,1000,965.473428
700.0,1000,966.111014
400.0,1000,967.217509
700.0,1000,967.854082
700.0,1000,968.952034
650.0,1000,969.585633
700.0,1000,970.683729
440.0,1000,971.307909
700.0,1000,972.420919
750.0,1000,973.066948
750.0,1000,973.713636
700.0,1000,974.842583
540.0,1000,975.457992
370.0,1000,976.541948
700.0,1000,977.190525
400.0,1000,978.272012
440.0,1000,978.908485
750.0,1000,980.005891
750.0,1000,980.647049
800.0,1000,981.77849
700.0,1000,982.43556
800.0,1000,983.546897
750.0,1000,984.188502
650.0,1000,985.273866
750.0,1000,985.914521
750.0,1000,987.023777
700.0,1000,987.662475
520.0,1000,988.825778
750.0,1000,989.468532
400.0,1000,990.552811
460.0,1000,991.165885
550.0,1000,992.363998
457.15,785,992.790472
141.38,362,992.912824
590.0,1000,994.014945
650.0,1000,994.646634
370.0,1000,995.74854
650.0,1000,996.357146
650.0,1000,997.433703
800.0,1000,998.080293
140.77,423,998.218248
650.0,1000,999.311356
850.0,1000,999.965179
800.0,1000,1001.080833
750.0,1000,1001.741925
850.0,1000,1002.862302
400.0,1000,1003.605395
850.0,1000,1005.031898
850.0,1000,1005.912475
800.0,1000,1007.03233
800.0,1000,1007.685309
750.0,1000,1008.807859
800.0,1000,1009.449834
800.0,1000,1010.651422
800.0,1000,1011.29557
850.0,1000,1012.435522
900.0,1000,1013.088862
900.0,1000,1014.213484
850.0,1000,1014.832407
940.0,1000,1015.964185
940.0,1000,1016.623695
900.0,1000,1017.739469
900.0,1000,1018.401376
