#{"t_start": 1770078423.673936, "env_id": "None"}
r,l,t
44.14,86,43.88657
143.46,154,44.422827
143.56,144,44.492119
143.41,159,44.568593
143.56,144,44.638361
143.44,156,44.712931
143.45,155,44.786145
143.43,157,44.861001
143.42,158,44.937223
143.57,143,45.005591
143.65,135,45.070012
143.56,144,45.138721
143.34,166,45.218352
143.54,146,45.288313
143.51,149,45.818305
143.62,138,45.885877
143.48,152,45.958448
143.53,147,46.030903
143.51,149,46.146645
143.51,149,46.228024
143.5,150,46.314572
143.45,155,46.400496
143.61,139,46.468437
143.28,172,46.550078
143.47,153,46.623587
143.63,137,46.689607
143.54,146,46.758788
143.32,168,46.838965
143.55,145,47.375766
143.54,146,47.445623
143.51,149,47.517279
143.48,152,47.58992
143.68,132,47.651955
143.58,142,47.719771
143.48,152,47.792519
143.38,162,47.869156
143.61,139,47.935334
143.52,148,48.005395
143.52,148,48.075284
143.48,152,48.147332
143.53,147,48.216888
143.46,154,48.290759
143.47,153,48.82201
143.51,149,48.891052
143.49,151,48.963897
143.41,159,49.041307
143.31,169,49.130916
143.47,153,49.211919
143.29,171,49.295408
143.4,160,49.372652
143.31,169,49.453829
143.5,150,49.525527
143.43,157,49.601125
143.31,169,49.681494
143.56,144,49.750053
143.5,150,50.283677
143.14,186,50.372488
143.42,158,50.447356
142.98,202,50.542839
143.5,150,50.614771
143.36,164,50.692306
143.29,171,50.773439
143.29,171,50.853205
143.3,170,50.936216
143.41,159,51.012348
143.51,149,51.082774
143.57,143,51.152497
143.01,199,51.848609
143.2,180,51.933941
143.45,155,52.006102
143.34,166,52.086431
143.62,138,52.1533
143.52,148,52.235771
143.6,140,52.361664
143.42,158,52.485643
143.59,141,52.57041
143.17,183,52.668199
143.41,159,52.756318
143.44,156,52.832495
143.44,156,52.90736
143.4,160,53.450987
143.36,164,53.533825
143.57,143,53.613765
143.46,154,53.686003
143.4,160,53.762325
143.48,152,53.834437
143.45,155,53.907933
143.55,145,53.976724
143.44,156,54.050727
143.55,145,54.12016
143.44,156,54.227297
143.43,157,54.302664
143.44,156,54.378168
143.56,144,54.462576
143.53,147,55.022059
143.52,148,55.092677
143.09,191,55.184084
143.52,148,55.255058
143.38,162,55.346467
143.26,174,55.431312
143.44,156,55.514398
143.49,151,55.590703
143.51,149,55.661793
143.47,153,55.734754
143.49,151,55.807442
143.51,149,55.878641
143.53,147,55.949503
143.49,151,56.482253
143.58,142,56.548634
143.52,148,56.619124
143.43,157,56.693119
143.53,147,56.762453
143.56,144,56.830182
143.38,162,56.906449
143.5,150,56.978163
143.6,140,57.043951
143.5,150,57.115099
143.39,161,57.191677
143.53,147,57.261462
143.56,144,57.330865
143.44,156,57.866264
143.51,149,57.93826
143.69,131,58.000932
143.63,137,58.065362
143.43,157,58.138746
143.5,150,58.209284
143.59,141,58.276111
143.57,143,58.344753
143.38,162,58.419621
143.55,145,58.487658
143.56,144,58.555675
143.6,140,58.622373
143.57,143,58.690529
143.57,143,58.758104
143.63,137,58.822843
143.55,145,59.348368
143.61,139,59.41378
143.49,151,59.485312
143.31,169,59.565883
143.65,135,59.628809
143.54,146,59.698113
143.61,139,59.763613
143.62,138,59.828813
143.46,154,59.900962
143.54,146,59.969354
143.54,146,60.038423
143.59,141,60.104708
143.55,145,60.173335
143.68,132,60.235647
143.49,151,60.767516
143.55,145,60.836725
143.57,143,60.905256
143.6,140,60.971712
143.49,151,61.0436
143.52,148,61.112278
143.53,147,61.182429
143.66,134,61.246709
143.47,153,61.318593
143.55,145,61.387306
143.2,180,61.473951
143.55,145,61.541498
143.48,152,61.614083
143.52,148,62.157084
143.47,153,62.230451
143.48,152,62.303431
143.63,137,62.368459
143.59,141,62.435216
143.59,141,62.502095
143.48,152,62.573514
143.57,143,62.641353
143.55,145,62.710114
143.54,146,62.779846
143.54,146,62.848704
143.57,143,62.916273
143.56,144,62.984872
143.49,151,63.059025
143.4,160,63.593198
143.49,151,63.664638
143.46,154,63.737098
143.53,147,63.806708
143.48,152,63.877531
143.57,143,63.945407
143.5,150,64.016184
143.48,152,64.087744
143.43,157,64.162928
143.56,144,64.231609
143.47,153,64.303393
143.33,167,64.38142
143.52,148,64.453492
143.52,148,64.52598
143.26,174,65.069677
143.36,164,65.146081
143.47,153,65.218936
143.4,160,65.294551
143.47,153,65.368836
143.42,158,65.444226
143.6,140,65.510562
143.31,169,65.588883
143.49,151,65.660073
143.35,165,65.737454
143.48,152,65.809744
143.52,148,65.879243
143.43,157,65.953954
143.53,147,66.494364
143.48,152,66.567095
143.53,147,66.634681
143.32,168,66.713423
143.32,168,66.791586
143.54,146,66.860317
143.37,163,66.937265
143.38,162,67.012795
143.41,159,67.085831
143.43,157,67.159162
143.51,149,67.228241
143.36,164,67.306956
143.47,153,67.378667
143.43,157,67.912293
143.42,158,67.987158
143.38,162,68.062967
143.42,158,68.138079
143.34,166,68.216341
143.39,161,68.292834
143.45,155,68.364865
143.51,149,68.435027
143.31,169,68.513698
143.37,163,68.590203
143.5,150,68.662154
143.36,164,68.74054
143.31,169,68.819874
143.32,168,69.35667
143.48,152,69.428019
143.11,189,69.514363
143.33,167,69.593094
143.39,161,69.667738
143.47,153,69.739521
143.44,156,69.81298
143.21,179,69.896203
143.4,160,69.970873
143.31,169,70.049616
143.35,165,70.126264
143.37,163,70.203196
143.24,176,70.745658
143.28,172,70.826987
143.32,168,70.905522
143.41,159,70.981163
143.13,187,71.067833
143.14,186,71.154916
143.24,176,71.236317
143.36,164,71.3127
143.16,184,71.3975
143.18,182,71.482126
143.51,149,71.551523
143.34,166,71.626063
143.2,180,72.165207
143.38,162,72.240415
143.42,158,72.316369
143.4,160,72.391226
143.18,182,72.475206
143.16,184,72.560277
143.01,199,72.649785
143.08,192,72.73691
143.18,182,72.820614
142.03,297,72.936214
143.24,176,73.017498
143.05,195,73.563763
143.29,171,73.644848
141.41,359,73.773245
142.91,209,73.867528
143.15,185,73.953474
142.61,239,74.057323
143.0,200,74.148491
143.18,182,74.231621
142.97,203,74.379484
143.24,176,74.463884
143.07,193,75.016591
143.0,200,75.10981
142.59,241,75.217105
141.76,324,75.340844
142.23,277,75.452787
142.19,281,75.565225
143.18,182,75.647999
141.72,328,75.77184
143.22,178,76.313957
142.27,273,76.424845
143.27,173,76.50537
141.65,335,76.622878
141.39,361,76.752471
143.1,190,76.840683
142.74,226,76.940212
142.75,225,77.041655
142.85,215,77.594812
142.93,207,77.690048
142.21,279,77.802364
142.97,203,77.894965
143.08,192,77.984072
143.11,189,78.072535
141.61,339,78.201422
143.07,193,78.290101
141.06,394,78.883071
141.72,328,79.015533
142.72,228,79.116484
142.85,215,79.213682
141.22,378,79.348256
142.54,246,79.450332
141.24,376,79.592234
142.43,257,80.154325
141.08,392,80.295166
141.55,345,80.427385
142.4,260,80.541204
142.83,217,80.63771
141.96,304,80.760252
140.93,407,80.905785
141.67,333,81.489485
141.86,314,81.615503
143.1,190,81.700873
142.33,267,81.818125
141.63,337,81.954622
141.77,323,82.081555
141.13,387,82.689103
143.29,171,82.771159
141.63,337,82.893276
140.92,408,83.043269
141.16,384,83.17806
142.38,262,83.286927
141.01,399,83.431142
141.84,316,84.015087
141.36,364,84.147418
141.66,334,84.273037
141.31,369,84.417788
142.4,260,84.524107
141.66,334,84.647139
141.46,354,85.237767
141.51,349,85.377903
140.92,408,85.525555
140.33,467,85.696418
165.9,910,86.673171
141.5,350,86.80594
139.64,536,86.980971
141.03,397,87.131807
140.11,489,87.755702
170.0,1000,88.324401
141.45,355,88.457688
141.66,334,88.595091
141.04,396,89.206665
142.99,201,89.300388
141.76,324,89.426281
139.95,505,89.591911
147.71,729,89.932246
142.21,279,90.509003
140.21,479,90.686923
140.71,429,90.83465
141.44,356,90.979778
142.07,293,91.116339
140.7,430,91.286114
139.48,552,91.933134
138.96,604,92.148202
138.12,688,92.383502
139.35,565,93.049977
150.0,1000,93.609468
150.0,1000,94.587272
170.0,1000,95.138931
140.31,469,95.306546
139.1,590,95.952378
141.26,374,96.094504
138.33,667,96.310573
142.46,254,96.429692
170.0,1000,97.457149
142.71,229,97.561356
140.29,471,97.716426
139.52,548,97.901225
141.71,329,98.482778
140.77,423,98.641776
139.67,533,98.816397
138.66,634,99.115008
139.7,530,99.746893
170.0,1000,100.333285
140.83,417,100.487485
138.69,631,101.145173
200.0,1000,101.758225
200.0,1000,102.808463
141.57,343,102.948059
141.7,330,103.081837
142.7,230,103.187764
200.0,1000,103.79123
141.12,388,104.401077
170.0,1000,104.97469
170.0,1000,105.988874
200.0,1000,106.594038
170.0,1000,107.650789
150.0,1000,108.111138
140.16,484,108.291881
136.07,893,109.010484
150.0,1000,109.552411
150.0,1000,110.516772
